xl,xh,NLOFF1,dNLOFF1
270.0,271.25,0.0,0.0
271.25,272.5,0.0,0.0
272.5,273.75,0.0,0.0
273.75,275.0,0.0,0.0
275.0,276.25,0.0,0.0
276.25,277.5,0.0,0.0
277.5,278.75,0.0,0.0
278.75,280.0,0.0,0.0
280.0,281.25,0.0,0.0
281.25,282.5,0.0,0.0
282.5,283.75,0.0,0.0
283.75,285.0,0.0,0.0
285.0,286.25,0.0,0.0
286.25,287.5,0.0,0.0
287.5,288.75,0.0,0.0
288.75,290.0,0.0,0.0
290.0,291.25,0.0,0.0
291.25,292.5,0.0,0.0
292.5,293.75,0.0,0.0
293.75,295.0,0.0,0.0
295.0,296.25,0.0,0.0
296.25,297.5,0.0,0.0
297.5,298.75,0.0,0.0
298.75,300.0,0.0,0.0
300.0,301.25,0.0,0.0
301.25,302.5,0.0,0.0
302.5,303.75,0.0,0.0
303.75,305.0,0.0,0.0
305.0,306.25,0.0,0.0
306.25,307.5,0.0,0.0
307.5,308.75,0.0,0.0
308.75,310.0,0.0,0.0
310.0,311.25,0.0,0.0
311.25,312.5,0.0,0.0
312.5,313.75,0.0,0.0
313.75,315.0,0.0,0.0
315.0,316.25,0.0,0.0
316.25,317.5,0.0,0.0
317.5,318.75,0.0,0.0
318.75,320.0,0.0,0.0
320.0,321.25,0.0,0.0
321.25,322.5,0.0,0.0
322.5,323.75,0.0,0.0
323.75,325.0,0.0,0.0
325.0,326.25,0.0,0.0
326.25,327.5,0.0,0.0
327.5,328.75,0.0,0.0
328.75,330.0,0.0,0.0
330.0,331.25,0.0,0.0
331.25,332.5,0.0,0.0
332.5,333.75,0.0,0.0
333.75,335.0,0.0,0.0
335.0,336.25,0.0,0.0
336.25,337.5,0.0,0.0
337.5,338.75,0.0,0.0
338.75,340.0,0.0,0.0
340.0,341.25,0.0,0.0
341.25,342.5,0.0,0.0
342.5,343.75,0.0,0.0
343.75,345.0,0.0,0.0
345.0,346.25,0.0,0.0
346.25,347.5,0.0,0.0
347.5,348.75,0.0,0.0
348.75,350.0,0.0,0.0
350.0,351.25,0.0,0.0
351.25,352.5,0.0,0.0
352.5,353.75,0.0,0.0
353.75,355.0,0.0,0.0
355.0,356.25,0.0,0.0
356.25,357.5,0.0,0.0
357.5,358.75,0.0,0.0
358.75,360.0,0.0,0.0
360.0,361.25,0.0,0.0
361.25,362.5,0.0,0.0
362.5,363.75,0.0,0.0
363.75,365.0,0.0,0.0
365.0,366.25,0.0,0.0
366.25,367.5,0.0,0.0
367.5,368.75,0.0,0.0
368.75,370.0,0.0,0.0
370.0,371.25,0.0,0.0
371.25,372.5,0.0,0.0
372.5,373.75,0.0,0.0
373.75,375.0,0.0,0.0
375.0,376.25,0.0,0.0
376.25,377.5,0.0,0.0
377.5,378.75,0.0,0.0
378.75,380.0,0.0,0.0
380.0,381.25,0.0,0.0
381.25,382.5,0.0,0.0
382.5,383.75,0.0,0.0
383.75,385.0,0.0,0.0
385.0,386.25,0.0,0.0
386.25,387.5,0.0,0.0
387.5,388.75,0.0,0.0
388.75,390.0,0.0,0.0
390.0,391.25,0.0,0.0
391.25,392.5,0.0,0.0
392.5,393.75,0.0,0.0
393.75,395.0,0.0,0.0
395.0,396.25,0.0,0.0
396.25,397.5,0.0,0.0
397.5,398.75,0.0,0.0
398.75,400.0,0.0,0.0
400.0,401.25,0.0,0.0
401.25,402.5,0.0,0.0
402.5,403.75,0.0,0.0
403.75,405.0,0.0,0.0
405.0,406.25,0.0,0.0
406.25,407.5,0.0,0.0
407.5,408.75,0.0,0.0
408.75,410.0,0.0,0.0
410.0,411.25,0.0,0.0
411.25,412.5,0.0,0.0
412.5,413.75,0.0,0.0
413.75,415.0,0.0,0.0
415.0,416.25,0.0,0.0
416.25,417.5,0.0,0.0
417.5,418.75,0.0,0.0
418.75,420.0,0.0,0.0
420.0,421.25,2.234600249407926e-06,2.234596700696927e-06
421.25,422.5,0.0,0.0
422.5,423.75,0.0,0.0
423.75,425.0,0.0,0.0
425.0,426.25,0.0,0.0
426.25,427.5,0.0,0.0
427.5,428.75,0.0,0.0
428.75,430.0,0.0,0.0
430.0,431.25,0.0,0.0
431.25,432.5,0.0,0.0
432.5,433.75,0.0,0.0
433.75,435.0,0.0,0.0
435.0,436.25,0.0,0.0
436.25,437.5,0.0,0.0
437.5,438.75,0.0,0.0
438.75,440.0,0.0,0.0
440.0,441.25,0.0,0.0
441.25,442.5,0.0,0.0
442.5,443.75,0.0,0.0
443.75,445.0,0.0,0.0
445.0,446.25,0.0,0.0
446.25,447.5,0.0,0.0
447.5,448.75,0.0,0.0
448.75,450.0,0.0,0.0
450.0,451.25,0.0,0.0
451.25,452.5,0.0,0.0
452.5,453.75,0.0,0.0
453.75,455.0,0.0,0.0
455.0,456.25,0.0,0.0
456.25,457.5,0.0,0.0
457.5,458.75,0.0,0.0
458.75,460.0,0.0,0.0
460.0,461.25,0.0,0.0
461.25,462.5,0.0,0.0
462.5,463.75,0.0,0.0
463.75,465.0,0.0,0.0
465.0,466.25,0.0,0.0
466.25,467.5,6.265378990656661e-06,6.2653689898202636e-06
467.5,468.75,0.0,0.0
468.75,470.0,0.0,0.0
470.0,471.25,0.0,0.0
471.25,472.5,0.0,0.0
472.5,473.75,0.0,0.0
473.75,475.0,0.0,0.0
475.0,476.25,0.0,0.0
476.25,477.5,0.0,0.0
477.5,478.75,0.0,0.0
478.75,480.0,0.0,0.0
480.0,481.25,0.0,0.0
481.25,482.5,0.0,0.0
482.5,483.75,0.0,0.0
483.75,485.0,0.0,0.0
485.0,486.25,0.0,0.0
486.25,487.5,0.0,0.0
487.5,488.75,0.0,0.0
488.75,490.0,0.0,0.0
490.0,491.25,0.0,0.0
491.25,492.5,0.0,0.0
492.5,493.75,0.0,0.0
493.75,495.0,0.0,0.0
495.0,496.25,0.0,0.0
496.25,497.5,0.0,0.0
497.5,498.75,2.9054605460976673e-06,2.905455878042514e-06
498.75,500.0,0.0,0.0
500.0,501.25,0.0,0.0
501.25,502.5,0.0,0.0
502.5,503.75,0.0,0.0
503.75,505.0,4.124725348844229e-06,4.12471878216435e-06
505.0,506.25,0.0,0.0
506.25,507.5,0.0,0.0
507.5,508.75,0.0,0.0
508.75,510.0,3.85378976055799e-06,3.853783563434391e-06
510.0,511.25,2.70048504690529e-06,2.7004807081738083e-06
511.25,512.5,0.0,0.0
512.5,513.75,0.0,0.0
513.75,515.0,2.694059751819404e-06,2.6940554716309596e-06
515.0,516.25,0.0,0.0
516.25,517.5,0.0,0.0
517.5,518.75,0.0,0.0
518.75,520.0,9.035391841831679e-06,9.035377419483769e-06
520.0,521.25,0.0,0.0
521.25,522.5,2.795783307866609e-06,2.795778866064826e-06
522.5,523.75,0.0,0.0
523.75,525.0,0.0,0.0
525.0,526.25,0.0,0.0
526.25,527.5,0.0,0.0
527.5,528.75,0.0,0.0
528.75,530.0,0.0,0.0
530.0,531.25,0.0,0.0
531.25,532.5,0.0,0.0
532.5,533.75,0.0,0.0
533.75,535.0,0.0,0.0
535.0,536.25,3.4599300701086664e-06,3.459924575482995e-06
536.25,537.5,1.6930105976654244e-06,1.693007895271518e-06
537.5,538.75,2.2558762143336753e-06,2.2558726318348655e-06
538.75,540.0,3.6459532266311393e-06,3.64594737591423e-06
540.0,541.25,0.0,0.0
541.25,542.5,0.0,0.0
542.5,543.75,2.7027161179331037e-06,2.7027117736208555e-06
543.75,545.0,0.0,0.0
545.0,546.25,0.0,0.0
